,Box,slot,month,day,year,session,river,site,habitat,egg,JULIAN.DAY,TEMP,CONDUCTIVITY,membrane.diameter.1,membrane.diameter.2,membrane.diameter.3,membrane.diameter.4,yolk.diameter.1,yolk.diameter.2,yolk.diameter.3,yolk.diameter.4,larval.length,MEMBRANE.AVE,MEMBRANE.SD,membrane.cv,yolk.to.membrane.ratio,YOLK.AVE,YOLK.SD,yolk.cv,Egg.Stage,compact.diffuse,Pigment,sticky.debris,deflated,comments,Questionable.genetics,common.name,Lab,Family,Genus,species,common.name.ACGC,Family.ACGC,Genus.ACGC,species.ACGC
11,Box 25,A2,6,10,2015,6,DSM,EDD,THAL,16-00472,161,23.1,654,2.798868,2.686402,2.466589,3.156676,2.266858,1.86391,1.753067,2.899629,0,2.77713375,0.288209987,0.103779657,0.790695083,2.195866,0.518519676,0.23613448,4,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
12,Box 26,A1,5,31,2015,5,DSM,MTH,THAL,16-00552,151,19.2,674,3.313557,3.781073,3.143405,3.837999,3.00389,2.28769,2.673416,3.0917,0,3.5190085,0.343375911,0.09757746,0.785497961,2.764174,0.365153419,0.132102183,D,D,N,Y,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
13,Box 26,A2,5,31,2015,5,DSM,MTH,THAL,16-00553,151,19.2,674,3.292697,3.822876,3.77581,3.382155,2.939872,2.431622,2.832046,2.650683,0,3.5683845,0.26986187,0.075625782,0.760443767,2.71355575,0.222634683,0.082045369,D,D,N,Y,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
14,Box 27,A1,5,31,2015,5,DSM,MTH,THAL,16-00652,151,19.2,674,2.272157,2.307682,2.999346,2.443508,1.213126,1.295849,1.274642,1.050257,0,2.50567325,0.33729694,0.134613298,0.482292933,1.2084685,0.111155829,0.091980742,3,C,N,Y,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
15,Box 17,A4,6,21,2014,7,IAR,MTH,CHAN,10,172,26.3,473,3.620126,3.578624,3.717414,3.675956,1.525593,1.245667,1.350235,1.323409,0,3.64803,0.061073254,0.016741434,0.373140024,1.361226,0.118210717,0.08684136,6,C,N,N,Y,,,,Roe,,,,,,,
16,Box 20,A2,5,31,2015,5,DSM,CLF,CHAN,16-00002,151,19.1,634,3.022017,2.732533,3.024889,2.74427,1.414783,1.291275,1.348531,1.389186,0,2.88092725,0.164648474,0.057151209,0.472397819,1.36094375,0.053864338,0.039578666,3,C,N,N,Y,,NO,Grass Carp,UWSP,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
17,Box 4,A1,5,27,2014,4,DSM,MTH,THAL,1,147,23.3,494,1.619956,1.679034,1.664587,1.62604,1.141278,1.054559,1.063026,1.256928,1.675949,1.64740425,0.028899398,0.017542384,0.685288842,1.12894775,0.093826689,0.08310986,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
18,Box 20,A3,7,10,2015,9,DSM,CLF,CHAN,16-00003,191,23.8,442,1.012837,1.009201,1.068303,1.0332,1.026025,1.07666,1.046249,1.020928,0,1.03088525,0.027088694,0.026277119,1.011233307,1.0424655,0.025283279,0.024253349,4,C,N,Y,Y,,NO,Emerald Shiner,UWSP,Cyprinidae,Notropis,Notropis atherinoides,Emerald Shiner,Cyprinidae,Notropis,Notropis atherinoides
19,Box 20,A4,8,1,2015,11,DSM,CLF,BACK,16-00004,213,27.4,459,1.106157,1.148884,1.19052,1.048371,1.106157,1.148884,1.19052,1.048371,0,1.123483,0.060776018,0.054096072,1,1.123483,0.060776018,0.054096072,D,D,N,Y,Y,,,,UWSP,,,,,,,
20,Box 20,A5,9,11,2015,15,DSM,KQA,THAL,16-00005,254,24.4,566,2.00112,1.570864,1.721121,1.487442,2.00112,1.570864,1.721121,1.487442,0,1.69513675,0.225744513,0.13317186,1,1.69513675,0.225744513,0.13317186,D,D,N,Y,Y,,,,UWSP,,,,,,,
21,Box 20,A6,6,30,2015,8,DSM,MTH,BACK,16-00006,181,23.8,470,2.769549,2.158558,2.336638,2.741532,1.227843,1.840243,1.349296,1.690922,0,2.50156925,0.302354264,0.120865838,0.610447222,1.527076,0.286394366,0.187544278,4,C,N,Y,Y,,,,UWSP,,,,,,,
22,Box 20,A7,7,22,2015,10,DSM,MTH,THAL,16-00007,203,26.1,480,3.527305,3.010758,3.794513,2.763056,1.647462,1.368171,1.673649,1.545723,0,3.273908,0.470976749,0.143857662,0.476113333,1.55875125,0.138517938,0.088864684,6,C,N,N,Y,,NO,Silver Chub,UWSP,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana,Silver Chub,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana
23,Box 4,A2,5,7,2014,2,IAR,DNE,THAL,1,127,16.3,557,1.750139,1.514649,1.583403,1.694203,1.750139,1.514649,1.583403,1.694203,0,1.6355985,0.106312692,0.06499926,1,1.6355985,0.106312692,0.06499926,D,D,N,Y,Y,sand,,,Roe,,,,,,,
24,Box 6,A1,7,21,2014,10,UMR,UPD,THAL,3,202,24.7,460,1.501682,1.473071,1.507907,1.433654,1.161436,1.119525,1.081201,1.070725,2.243468,1.4790785,0.03386973,0.022899211,0.749264998,1.10822175,0.041213457,0.037188818,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
25,Box 10,A2,7,28,2014,11,UMR,UPI,THAL,2,209,24.7,522,1.501775,1.502415,1.513333,1.512478,1.196011,1.258164,1.20938,1.13569,0,1.50750025,0.006256656,0.004150351,0.795894561,1.19981125,0.050406947,0.042012398,4,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
26,Box 5,A2,8,6,2014,12,SKK,MTH,CHAN,1,218,25.9,383,1.483934,1.508,1.496693,1.457171,0.9991602,1.022859,1.020893,0.9501002,0,1.4864495,0.021854913,0.014702762,0.671568795,0.9982531,0.033850357,0.033909594,6,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
27,Box 10,A3,7,28,2014,11,UMR,UPI,THAL,3,209,24.7,522,1.483475,1.447882,1.483981,1.450885,1.407934,0.9863268,1.204166,1.237082,0,1.46655575,0.019867744,0.013547213,0.824296792,1.2088772,0.173176207,0.143253762,4,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
28,Box 5,A3,6,20,2014,7,DSM,MTH,BACK,1,171,28.3,510,1.46621,1.46621,1.455983,1.463454,1.088659,1.212338,1.195426,1.174141,1.802038,1.46296425,0.004832097,0.00330295,0.798133652,1.167641,0.054924901,0.047039202,7,C,Y,N,N,,,,Roe,,,,,,,
29,Box 10,A4,5,7,2014,2,IAR,UPE,CHAN,1,127,16.1,562,2.11433,1.799383,2.028845,1.838127,2.11433,1.799383,2.028845,1.838127,0,1.94517125,0.15091793,0.077585935,1,1.94517125,0.15091793,0.077585935,D,D,N,Y,N,,NO,Buffalo sp.,Roe,Catostomidae,Ictiobus,Ictiobus sp.,Buffalo sp.,Catostomidae,Ictiobus,Ictiobus sp.
30,Box 9,A1,6,13,2014,6,UMR,DNI,THAL,8,164,21.9,349,1.590264,1.610542,1.573737,1.601783,1.224958,1.129209,1.180124,1.488391,0,1.5940815,0.015903177,0.009976389,0.787707843,1.2556705,0.160001951,0.127423517,4,C,N,N,N,,,,Roe,,,,,,,
31,Box 5,A4,5,27,2014,4,SKK,UPC,THAL,1,147,23.6,531,1.449921,1.455022,1.418223,1.492331,0.9688971,1.077266,1.157879,0.9667302,1.973985,1.45387425,0.030369276,0.020888516,0.717182435,1.042693075,0.092518987,0.088730796,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
32,Box 10,A5,5,7,2014,2,IAR,UPE,CHAN,2,127,16.1,562,1.939894,1.826873,1.843443,1.982974,1.939894,1.826873,1.843443,1.982974,0,1.898296,0.075301292,0.039667835,1,1.898296,0.075301292,0.039667835,D,D,N,Y,N,,NO,Buffalo sp.,Roe,Catostomidae,Ictiobus,Ictiobus sp.,Buffalo sp.,Catostomidae,Ictiobus,Ictiobus sp.
33,Box 10,A6,5,7,2014,2,IAR,UPE,CHAN,3,127,16.1,562,1.990337,1.592098,1.77718,1.738646,1.990337,1.592098,1.77718,1.738646,0,1.77456525,0.164467601,0.092680503,1,1.77456525,0.164467601,0.092680503,D,D,N,Y,N,,NO,Buffalo sp.,Roe,Catostomidae,Ictiobus,Ictiobus sp.,Buffalo sp.,Catostomidae,Ictiobus,Ictiobus sp.
34,Box 27,A2,5,31,2015,5,DSM,MTH,THAL,16-00653,151,19.2,674,4.256354,3.834417,4.090779,3.817584,3.651145,3.69674,3.657124,3.73347,0,3.9997835,0.211857924,0.052967348,0.921204798,3.68461975,0.038339808,0.010405363,D,D,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
35,Box 4,A3,6,13,2014,6,IAR,MTH,CHAN,1,164,21.4,556,1.468694,1.143095,1.212188,1.182893,1.07373,1.084743,1.003914,1.174919,0,1.2517175,0.147396339,0.117755275,0.866270944,1.0843265,0.070203586,0.064743955,D,D,N,Y,Y,,,,Roe,,,,,,,
36,Box 11,A2,8,15,2014,13,UMR,DNI,CHAN,3,227,25.3,440,1.203658,1.278789,1.208223,1.197588,1.09052,1.168516,1.07154,1.117306,2.071715,1.2220645,0.038066408,0.031149263,0.909911465,1.1119705,0.04211338,0.03787275,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
37,Box 11,A3,8,15,2014,13,UMR,DNI,CHAN,4,227,25.3,440,1.023218,1.025675,0.9971993,0.9995625,1.023218,1.025675,0.9971993,0.9995625,0,1.0114137,0.015113198,0.014942647,1,1.0114137,0.015113198,0.014942647,D,D,N,N,N,,,,Roe,,,,,,,
38,Box 7,A1,6,20,2014,7,UMR,UPD,THAL,1,171,26,349,1.472122,1.478128,1.475762,1.459759,1.200518,1.145481,1.405262,1.076731,2.193549,1.47144275,0.008171493,0.005553388,0.820281999,1.206998,0.141544383,0.117269774,7,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
39,Box 10,A7,5,7,2014,2,IAR,UPE,THAL,1,127,16.1,562,2.061488,2.10428,2.100788,2.032219,2.061488,2.10428,2.100788,2.032219,0,2.07469375,0.034325658,0.016544927,1,2.07469375,0.034325658,0.016544927,D,D,N,Y,N,,,,Roe,,,,,,,
40,Box 7,A2,7,20,2014,10,CDR,CON,BACK,3,201,24.8,559,2.282349,1.08951,1.522727,1.191561,0.8509504,1.192147,1.089911,1.082057,0,1.52153675,0.53986659,0.354816661,0.692567136,1.05376635,0.144210853,0.136852779,5,C,N,Y,Y,maybe not a goldeye,YES,Goldeye,Roe,Hiodontidae,Hiodon,Hiodon alosoides,Goldeye,Hiodontidae,Hiodon,Hiodon alosoides
41,Box 10,A8,5,7,2014,2,IAR,UPE,THAL,2,127,16.1,562,1.668393,1.794248,1.681383,1.676502,1.668393,1.794248,1.681383,1.676502,0,1.7051315,0.059652068,0.034983852,1,1.7051315,0.059652068,0.034983852,D,D,N,Y,N,,NO,Buffalo sp.,Roe,Catostomidae,Ictiobus,Ictiobus sp.,Buffalo sp.,Catostomidae,Ictiobus,Ictiobus sp.
42,Box 16,A1,6,5,2014,5,CDR,CON,THAL,4,156,24.1,486,1.350982,1.614229,1.698855,1.381313,1.227344,1.383959,1.403041,1.20692,0,1.51134475,0.171629184,0.113560578,0.863678522,1.305316,0.102463494,0.078497079,6,C,N,Y,Y,,NO,Striped Bass,Roe,Moronidae,Morone,Morone saxatilis,Striped Bass,Moronidae,Morone,Morone saxatilis
43,Box 6,A2,7,28,2014,11,UMR,DNS,THAL,4,209,25.4,485,1.282937,1.64373,1.439275,1.417928,0.9989153,1.273118,1.077963,0.995094,2.193879,1.4459675,0.148907078,0.10298093,0.751242732,1.086272575,0.130288255,0.119940665,7,C,Y,N,Y,,,,Roe,,,,,,,
44,Box 7,A3,8,7,2014,12,UMR,DNI,CHAN,3,219,25.8,489,1.238353,1.394012,1.245782,1.288143,1.248179,1.160126,1.158422,1.117306,0,1.2915725,0.071727953,0.055535367,0.90665313,1.17100825,0.055124385,0.047074292,1,C,Y,N,Y,"YOLK IS A MESS,prongs",NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
45,Box 26,C10,6,10,2015,6,DSM,KQA,CHAN,16-00581,161,24.8,633,1.361386,1.379296,1.285105,1.339112,0.8048066,1.100572,1.008368,0.8613941,1.656716,1.34122475,0.040864761,0.030468243,0.703674142,0.943785175,0.135223745,0.143278098,8,C,Y,N,N,LIKELY A DRUM,YES,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
46,Box 6,A3,7,28,2014,11,UMR,UPS,CHAN,4,209,25.2,484,1.413434,1.493642,1.463191,1.466388,1.138825,1.242734,1.108607,1.093736,0,1.45916375,0.033408424,0.022895596,0.785364562,1.1459755,0.067178139,0.058620921,5,C,Y,N,N,,,,Roe,,,,,,,
47,Box 16,A2,6,5,2014,5,CDR,CON,THAL,5,156,24.1,486,1.451753,1.480352,1.472422,1.472422,1.054408,1.102766,1.072442,1.0580301,0,1.46923725,0.012240941,0.008331494,0.729570071,1.071911525,0.021995055,0.020519469,6,C,N,N,N,,,,Roe,,,,,,,
48,Box 4,A4,9,1,2014,15,CDR,CON,THAL,1,244,24.8,454,2.037192,1.887549,1.927204,1.965207,0.8747692,1.067062,1.179161,0.938701,2.169542,1.954288,0.063717959,0.032604181,0.519331491,1.0149233,0.135579592,0.133586047,7,C,N,N,Y,,,,Roe,,,,,,,
49,Box 27,A3,5,31,2015,5,DSM,MTH,THAL,16-00654,151,19.2,674,3.59759,2.733738,2.656659,3.635404,1.657832,1.99604,1.484226,1.564846,0,3.15584775,0.533065494,0.168913565,0.53099393,1.675736,0.225009539,0.134275052,3,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
50,Box 14,A1,5,7,2014,2,IAR,DNE,THAL,4,127,16.3,557,1.868371,1.924376,1.877602,1.889045,1.868371,1.924376,1.877602,1.889045,0,1.8898485,0.024522463,0.012975889,1,1.8898485,0.024522463,0.012975889,D,D,N,Y,N,,NO,Smallmouth Buffalo,Roe,Catostomidae,Ictiobus,Ictiobus bubalus,Smallmouth Buffalo,Catostomidae,Ictiobus,Ictiobus bubalus
51,Box 26,C5,6,11,2015,6,IAR,MTH,CHAN,16-00576,162,26,563,1.375254,1.207094,1.389312,1.270225,1.261013,1.005917,1.138168,1.149098,0,1.31047125,0.087023531,0.066406288,0.868808835,1.138549,0.104403233,0.091698498,5,C,N,Y,Y,,NO,Emerald Shiner,Roe,Cyprinidae,Notropis,Notropis atherinoides,Emerald Shiner,Cyprinidae,Notropis,Notropis atherinoides
52,Box 6,A4,5,7,2014,2,CDR,CON,THAL,1,127,15.2,516,1.55129,1.617894,1.640475,1.71023,1.402392,1.538435,1.725804,1.447153,4.316389,1.62997225,0.065544882,0.040212269,0.937712897,1.528446,0.143234217,0.093712318,8,C,Y,Y,N,"small debris, eye and body pigment",NO,Walleye,Roe,Percidae,Sander,Sander vitreus,Walleye,Percidae,Sander,Sander vitreus
53,Box 14,A2,5,28,2014,4,CDR,CON,THAL,4,148,23.4,465,2.228339,2.762043,2.358421,2.053985,1.267596,1.677384,1.70135,1.658687,0,2.350697,0.301261062,0.128158186,0.670547608,1.57625425,0.2065117,0.131014207,4,C,N,Y,Y,,NO,Silver Chub,Roe,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana,Silver Chub,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana
54,Box 10,A9,5,7,2014,2,IAR,UPE,THAL,3,127,16.1,562,1.873124,1.859443,1.911315,1.864493,1.873124,1.859443,1.911315,1.864493,0,1.87709375,0.023503055,0.012520981,1,1.87709375,0.023503055,0.012520981,D,D,N,Y,N,,NO,Buffalo sp.,Roe,Catostomidae,Ictiobus,Ictiobus sp.,Buffalo sp.,Catostomidae,Ictiobus,Ictiobus sp.
55,Box 6,A5,6,12,2014,6,UMR,DND,THAL,2,163,22.7,357,2.927098,2.710716,2.506286,2.589251,2.374526,2.02405,2.128384,2.223582,0,2.68333775,0.182910057,0.068165126,0.815266546,2.1876355,0.148874853,0.06805286,4,C,N,Y,Y,,NO,Grass Carp,Roe,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
56,Box 7,A4,6,4,2014,5,UMR,UPS,CHAN,2,155,24.6,313,NA,NA,NA,NA,1.112431,1.172085,0.8154609,0.8654496,2.30351,NA,NA,NA,NA,0.991356625,0.177119202,NA,7,C,N,Y,NO MEMBRANE,missing most of membrane,NO,Emerald Shiner,Roe,Cyprinidae,Notropis,Notropis atherinoides,Emerald Shiner,Cyprinidae,Notropis,Notropis atherinoides
57,Box 6,A6,6,5,2014,5,IAR,UPE,THAL,3,156,25.3,584,1.384514,1.364783,1.472869,1.331257,1.046456,0.9595811,1.05833,1.000262,0,1.38835575,0.060479171,0.043561725,0.731914191,1.016157275,0.045277201,0.044557277,4,C,N,Y,Y,,NO,Channel Shiner,Roe,Cyprinidae,Notropis,Notropis wickliffi,Channel Shiner,Cyprinidae,Notropis,Notropis wickliffi
58,Box 16,A3,6,5,2014,5,CDR,CON,THAL,6,156,24.1,486,2.367929,1.719134,2.25451,2.164965,0.8970346,0.7911799,0.9116875,0.82002809,1.165174,2.1266345,0.284078078,0.133581054,0.40203548,0.854982523,0.05852754,0.068454662,7,C,N,Y,Y,,NO,Striped Bass,Roe,Moronidae,Morone,Morone saxatilis,Striped Bass,Moronidae,Morone,Morone saxatilis
59,Box 11,A4,8,15,2014,13,UMR,DNI,CHAN,5,227,25.3,440,2.102817,1.426578,1.996325,1.780019,1.144703,0.9307361,0.7580854,1.063206,2.019105,1.82643475,0.298490473,0.163427942,0.533379375,0.974182625,0.168906257,0.173382539,8,C,N,N,Y,shiner?,YES,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
60,Box 26,C6,6,11,2015,6,IAR,MTH,CHAN,16-00577,162,26,563,1.148153,1.391767,1.550336,1.322141,0.8934755,1.189343,1.010847,0.945915,2.262387,1.35309925,0.16669224,0.123192915,0.746357021,1.009895125,0.128904915,0.127641883,7,C,N,Y,Y,,NO,Channel Shiner,Roe,Cyprinidae,Notropis,Notropis wickliffi,Channel Shiner,Cyprinidae,Notropis,Notropis wickliffi
61,Box 25,A3,6,10,2015,6,DSM,EDD,THAL,16-00473,161,23.1,654,2.793007,3.01807,2.916917,2.820705,1.278303,1.16566,1.185318,1.256563,0,2.88717475,0.102150152,0.035380661,0.423064451,1.221461,0.05441578,0.044549748,6,C,N,N,Y,,NO,Silver Chub,Roe,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana,Silver Chub,Cyprinidae,Macrhybopsis,Macrhybopsis storeriana
62,Box 27,A4,5,31,2015,5,DSM,MTH,THAL,16-00655,151,19.2,674,3.362971,2.597648,2.763778,3.272089,1.402542,1.420093,1.458935,1.336587,0,2.9991215,0.375706112,0.125272055,0.468316889,1.40453925,0.051063079,0.036355751,3,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
63,Box 6,A7,8,7,2014,12,IAR,MTH,CHAN,1,219,23.8,511,2.198994,1.715158,1.612451,2.121748,1.644644,1.123685,1.323053,1.353984,0,1.91208775,0.291453899,0.152427052,0.711966017,1.3613415,0.214678877,0.157696564,4,C,N,N,Y,,,,Roe,,,,,,,
64,Box 25,A4,6,10,2015,6,DSM,EDD,THAL,16-00474,161,23.1,654,2.455642,2.563069,3.052886,2.098787,2.455642,2.563069,3.052886,2.098787,0,2.542596,0.39384534,0.154898906,1,2.542596,0.39384534,0.154898906,D,D,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
65,Box 26,C7,6,21,2015,7,UMR,DNI,THAL,16-00578,172,23.8,443,1.621317,1.609439,1.629126,1.599237,1.053386,1.082837,1.058756,1.34614,2.060697,1.61477975,0.013148526,0.008142613,0.703055479,1.13527975,0.141155656,0.124335571,8,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
66,Box 6,A8,8,16,2014,13,SKK,MTH,CHAN,3,228,24,289,1.383883,1.396767,1.400965,1.359446,1.123685,0.9758526,1.055999,0.9522866,0,1.38526525,0.018684367,0.013487934,0.741342353,1.0269558,0.078288084,0.076233158,5,C,Y,N,N,,,,Roe,,,,,,,
67,Box 4,A5,5,28,2014,4,CDR,CON,BACK,1,148,23.4,465,2.643028,2.520805,2.952715,2.553216,1.031147,1.007938,0.9785715,1.047575,0,2.667441,0.197084345,0.073885175,0.381004819,1.016307875,0.029955086,0.029474421,6,C,N,N,N,,,,Roe,,,,,,,
68,Box 26,C8,6,21,2015,7,UMR,DNI,THAL,16-00579,172,23.8,443,1.680486,1.710121,1.724312,1.700369,1.071249,0.9112266,0.9748788,1.004593,2.270447,1.703822,0.018402985,0.010801002,0.581332352,0.99048685,0.066451252,0.067089485,8,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
