"Dataset","Site","River","Year","Month","Julian_Day","Temperature","Conductivity","Larval_Length","Membrane_Ave","Membrane_SD","Membrane_CV","Embryo_to_Membrane_Ratio","Embryo_Ave","Embryo_SD","Embryo_CV","Egg_Stage","Compact_Diffuse","Pigment","Sticky_Debris","Deflated","Genus","Common_Name","Family_ACGC","Genus_ACGC","Common_Name_ACGC"
"validation","DNR","UMR",2016,8,225,27.9,373,0,0.75405,0.16015,0.21239,0.89232,0.67286,0.06423,0.09546,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,8,224,28,382,0,0.81579,0.02763,0.03387,0.79174,0.6459,0.05878,0.09101,"1","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPI","UMR",2016,8,240,25.6,625,3.611545,3.9045,0.39323,0.10071,1,3.9045,0.39323,0.10071,"8","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNR","UMR",2016,5,131,18.1,373,0,1.54043,0.16267,0.1056,1,1.54043,0.16267,0.1056,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,5,132,18.3,383,0,1.58367,0.1911,0.12067,0.72553,1.149,0.174,0.15144,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","ROC",2016,5,141,16.7,672,0,1.3826,0.19509,0.1411,0.89133,1.23235,0.23767,0.19286,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DND","UMR",2016,6,161,24.7,501,0,1.35022,0.13637,0.101,0.88568,1.19586,0.13212,0.11048,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,6,170,25.3,368,0,1.47493,0.1437,0.09743,0.75694,1.11643,0.14425,0.1292,"3","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNW","UMR",2016,6,170,25.7,367,0,1.36778,0.18924,0.13836,0.75003,1.02587,0.14548,0.14181,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,6,172,30.7,557,0,1.3491,0.16748,0.12414,0.72958,0.98427,0.14257,0.14484,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,6,170,25.3,368,0,1.50728,0.20304,0.13471,0.84065,1.2671,0.22228,0.17543,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPR","UMR",2016,6,171,26.9,363,0,1.2587,0.1292,0.10264,0.73961,0.93095,0.06146,0.06602,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPD","UMR",2016,6,172,27.1,398,0,1.48201,0.1637,0.11046,0.80091,1.18696,0.13834,0.11655,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","ROC",2016,6,170,25.8,653,0,1.36718,0.37164,0.27183,0.46783,0.6396,0.09513,0.14874,"1","C","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPR","UMR",2016,6,180,27.6,409,0,1.08569,0.15782,0.14537,1,1.08569,0.15782,0.14537,"D","D","N","N","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPW","UMR",2016,7,190,26.3,379,0,0.96314,0.10254,0.10646,0.79337,0.76412,0.09903,0.1296,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,7,191,29.75,677,0,1.1533,0.15139,0.13127,1,1.1533,0.15139,0.13127,"D","D","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNI","UMR",2016,7,191,27.4,415,0,1.51235,0.16968,0.11219,0.71915,1.0876,0.14442,0.13279,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,7,201,29.875,585,0,1.45122,0.17401,0.11991,0.71133,1.0323,0.0758,0.07342,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,7,200,27.25,378,0,1.23994,0.16495,0.13303,0.75453,0.93557,0.18022,0.19263,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPI","UMR",2016,7,200,28.3,484,0,1.39473,0.223,0.15989,0.67521,0.94174,0.13135,0.13947,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,7,201,29.875,585,0,1.44285,0.14504,0.10052,0.67959,0.98055,0.11626,0.11856,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","DSM",2016,7,211,28.9,490,0,1.12352,0.10546,0.09387,0.74433,0.83626,0.04728,0.05653,"1","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNS","UMR",2016,8,224,28.2,381,2.786754,1.38408,0.17695,0.12784,0.84507,1.16965,0.07362,0.06294,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNW","UMR",2016,8,232,28.3,392,0,0.9262,0.11132,0.12019,1,0.9262,0.11132,0.12019,"D","D","N","Y","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNW","UMR",2016,8,241,27.1,421,3.339596,3.92977,0.18533,0.04716,0.758,2.97875,0.43192,0.145,"8","C","N","N","N","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNW","UMR",2016,8,241,27.1,421,3.339596,3.92977,0.18533,0.04716,0.758,2.97875,0.43192,0.145,"8","C","N","N","N","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNW","UMR",2016,8,241,27.1,421,3.008274,3.207,0.39168,0.12213,0.53219,1.70674,0.52263,0.30622,"8","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNW","UMR",2016,8,241,27.1,421,3.008274,3.207,0.39168,0.12213,0.53219,1.70674,0.52263,0.30622,"8","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNI","UMR",2016,8,240,25.6,625,0,3.51104,0.33127,0.09435,0.44786,1.57246,0.34167,0.21728,"1","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNI","UMR",2016,5,140,16.8,470,0,1.1974,0.20203,0.16872,1,1.1974,0.20203,0.16872,"D","D","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNR","UMR",2016,5,150,24.5,422,0,1.51628,0.20756,0.13689,0.69283,1.05052,0.1833,0.17448,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P17","UMR",2016,6,171,27.1,363,2.395314,3.08731,0.44434,0.14392,0.43263,1.33566,0.57321,0.42916,"8","C","N","N","N","Macrhybopsis","Speckled Chub","Cyprinidae","Macrhybopsis","Speckled Chub"
"validation","UPS","UMR",2016,6,172,27.5,398,1.947334,1.33549,0.2275,0.17035,0.82342,1.09967,0.03362,0.03057,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P15","UMR",2016,6,180,27.6,409,2.393449,1.33716,0.28862,0.21584,0.88339,1.18123,0.31569,0.26726,"7","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,6,180,26.5,415,2.330491,1.8537,0.22389,0.12078,0.63281,1.17304,0.37424,0.31904,"8","C","N","N","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"validation","UPW","UMR",2016,7,200,27.25,378,0,1.83937,0.26133,0.14208,0.47958,0.88214,0.12829,0.14543,"1","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","UPI","UMR",2016,7,211,28.5,415,2.23908,1.04956,0.0536,0.05107,0.87353,0.91682,0.06956,0.07587,"7","C","N","Y","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","MTH","IAR",2016,7,211,27.9,552,2.186608,1.69752,0.56011,0.32996,0.67138,1.13968,0.6708,0.58858,"8","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNI","UMR",2016,8,232,24.2,625,0,1.0087,0.0618,0.06127,0.90999,0.9179,0.05169,0.05632,"1","C","N","Y","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNI","UMR",2016,8,232,28.2,625,0,1.0087,0.0618,0.06127,0.90999,0.9179,0.05169,0.05632,"1","C","N","Y","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNS","UMR",2016,8,240,25.6,625,0,3.04191,0.29125,0.09575,0.36836,1.12051,0.19565,0.17461,"1","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","DNS","UMR",2016,8,240,25.6,625,0,2.61204,0.37124,0.14213,0.42022,1.09764,0.08366,0.07622,"1","C","N","Y","N","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","P17","UMR",2016,7,200,27.15,432,2.293216,1.13594,0.1282,0.11286,0.79867,0.90724,0.15255,0.16815,"7","C","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","KQA","DSM",2016,6,153,22.1,604,0,1.32336,0.15423,0.11654,0.88192,1.16711,0.13544,0.11605,"4","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNR","UMR",2016,6,171,25.7,377,0,1.37594,0.05307,0.03857,0.82534,1.13563,0.08469,0.07458,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P17","UMR",2016,6,171,27.1,363,1.788229,1.53565,0.02022,0.01317,0.71878,1.1038,0.05982,0.05419,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,6,172,26.6,473,0,1.26368,0.06429,0.05087,0.74983,0.94755,0.05059,0.05339,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,6,180,29.5,352,0,1.27097,0.05177,0.04073,0.82375,1.04696,0.09248,0.08834,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","DSM",2016,6,180,27.5,615,0,1.05797,0.07559,0.07145,1,1.05797,0.07559,0.07145,"D","D","N","N","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPI","UMR",2016,7,191,26.6,435,0,1.60201,0.03436,0.02145,0.68898,1.10375,0.04687,0.04246,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P15","UMR",2016,7,190,26.2,382,0,1.62893,0.11853,0.07276,0.71364,1.16247,0.24734,0.21277,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P15","UMR",2016,7,190,26.2,382,0,1.43809,0.05364,0.0373,0.75351,1.08361,0.09503,0.0877,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P17","UMR",2016,7,190,26.5,420,0,1.04424,0.01431,0.0137,1,1.04424,0.01431,0.0137,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,7,200,26.65,528.5,0,1.19207,0.13709,0.11501,0.76138,0.90761,0.07783,0.08575,"1","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","MTH","IAR",2016,8,225,26.1,589,0,1.34285,0.1729,0.12875,0.79581,1.06865,0.19714,0.18448,"1","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","MTH","DSM",2016,8,224,28.1,553,0,1.39384,0.07366,0.05285,0.92358,1.28732,0.11503,0.08936,"1","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPI","UMR",2016,8,225,27.6,370,0,1.45925,0.03743,0.02565,0.90305,1.31777,0.08562,0.06498,"3","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,8,225,26.1,589,0,1.19291,0.07179,0.06018,0.88824,1.05959,0.13185,0.12443,"1","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNI","UMR",2016,8,232,24.2,625,0,1.43776,0.15219,0.10585,0.90197,1.29682,0.19673,0.1517,"6","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNI","UMR",2016,8,232,28.2,625,0,1.43776,0.15219,0.10585,0.90197,1.29682,0.19673,0.1517,"6","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","MTH","ROC",2016,7,200,26.8,660,2.351648,1.90281,0.15274,0.08027,0.50843,0.96744,0.08823,0.0912,"8","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","DNI","UMR",2016,6,161,23.7,448,0,1.57179,0.01781,0.01133,0.78709,1.23713,0.11511,0.09304,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,6,161,25.2,619,0,1.74962,0.04405,0.02518,0.70834,1.23933,0.04153,0.03351,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,6,161,23,580,0,1.63926,0.0517,0.03154,0.9397,1.54041,0.08457,0.0549,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNR","UMR",2016,6,160,24.5,425,1.877335,1.42557,0.04435,0.03111,0.71536,1.0198,0.09155,0.08977,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNS","UMR",2016,6,172,27.5,398,1.897688,1.73476,0.03546,0.02044,0.70869,1.22941,0.09046,0.07358,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPD","UMR",2016,7,191,28.1,553,0,1.25052,0.0664,0.0531,0.80772,1.01007,0.05496,0.05442,"1","C","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P15","UMR",2016,7,200,27,373,0,1.50842,0.04936,0.03272,0.72954,1.10045,0.20276,0.18425,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DND","UMR",2016,8,224,27.9,375,2.333827,1.43637,0.01669,0.01162,0.76871,1.10415,0.04272,0.03869,"7","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,8,225,28,382,0,1.61865,0.04676,0.02889,0.58844,0.95248,0.06194,0.06503,"8","C","N","N","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPS","UMR",2016,8,240,25.6,625,0,2.94484,0.76175,0.25867,0.57463,1.6922,0.54669,0.32307,"1","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","KQA","DSM",2016,5,132,16.9,596,0,3.18405,0.1618,0.05081,0.86306,2.74801,0.0887,0.03228,"D","D","N","N","N","Hiodon","Goldeye","Hiodontidae","Hiodon","Goldeye"
"validation","DNR","UMR",2016,5,150,24.5,422,0,1.81713,0.05539,0.03048,0.60228,1.09443,0.10421,0.09522,"5","C","N","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNR","UMR",2016,6,160,24.5,425,0,1.82932,0.03364,0.01839,0.6348,1.16124,0.05441,0.04686,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,6,161,24.1,477,0,1.43275,0.11304,0.07889,0.70647,1.0122,0.08109,0.08011,"D","D","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","DND","UMR",2016,6,172,27.5,391,0,1.60361,0.03414,0.02129,0.76475,1.22636,0.08716,0.07107,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,6,180,26,488,0,1.63509,0.02982,0.01824,0.66915,1.09412,0.07984,0.07298,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DND","UMR",2016,7,211,28.5,437,0,1.5151,0.10838,0.07153,0.67846,1.02793,0.09416,0.0916,"1","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","P15","UMR",2016,8,241,25.75,423,3.887626,4.10735,0.08534,0.02078,0.34302,1.40891,0.3019,0.21428,"8","C","N","N","N","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","P15","UMR",2016,8,241,25.75,423,3.887626,4.10735,0.08534,0.02078,0.34302,1.40891,0.3019,0.21428,"8","C","N","N","N","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","UPR","UMR",2016,5,131,17.7,367,0,1.69579,0.01848,0.0109,0.81628,1.38425,0.01346,0.00972,"6","C","N","Y","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","DSM",2016,6,161,25.6,354,0,1.51795,0.02479,0.01633,0.85531,1.29832,0.13422,0.10338,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNI","UMR",2016,8,225,27.7,386,0,1.47046,0.04165,0.02833,0.76849,1.13003,0.03092,0.02736,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,6,161,23,580,0,1.58769,0.03205,0.02019,0.91862,1.45847,0.07631,0.05232,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","ROC",2016,6,171,25.8,653,0,1.76009,0.07037,0.03998,0.63702,1.12121,0.16568,0.14777,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNS","UMR",2016,6,180,27.4,421,0,2.09899,0.10615,0.05057,0.45422,0.95341,0.07679,0.08054,"8","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","UPS","UMR",2016,6,180,27.5,428,0,1.66271,0.06975,0.04195,0.76876,1.27823,0.09757,0.07633,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P17","UMR",2016,7,211,27.8,444,0,1.45798,0.02735,0.01876,0.82206,1.19855,0.06572,0.05484,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,5,140,18.5,468,0,1.49232,0.07269,0.04871,0.87843,1.3109,0.0928,0.07079,"1","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","MTH","ROC",2016,6,160,23.9,698,0,1.44766,0.0811,0.05602,0.77726,1.1252,0.25803,0.22932,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,6,161,25.2,619,0,1.26274,0.04899,0.0388,0.85913,1.08486,0.0441,0.04065,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","ROC",2016,6,171,25.8,653,0,1.50822,0.01745,0.01157,0.67512,1.01823,0.11791,0.1158,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNS","UMR",2016,7,201,28.1,553,0,1.18699,0.02249,0.01895,0.84455,1.00247,0.04987,0.04975,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","SKK",2016,7,201,29.875,585,0,1.34831,0.04033,0.02991,0.76273,1.02839,0.13477,0.13105,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P17","UMR",2016,8,225,27.6,374,0,1.51185,0.03597,0.02379,0.72795,1.10055,0.05095,0.0463,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNI","UMR",2016,8,225,27.7,386,0,1.63839,0.0198,0.01208,0.80335,1.31619,0.08445,0.06416,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPI","UMR",2016,8,232,24.2,625,0,1.65792,0.02327,0.01403,0.64558,1.07032,0.03627,0.03388,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
